vegetable,month,segment,value,unit,status
leek,Jan,1,1.99,lb,peak
leek,Jan,2,1.99,lb,peak
leek,Jan,3,1.99,lb,peak
leek,Feb,1,1.99,lb,peak
leek,Feb,2,1.99,lb,peak
leek,Feb,3,1.99,lb,peak
leek,Mar,1,1.99,lb,peak
leek,Mar,2,1.99,lb,peak
leek,Mar,3,1.99,lb,peak
leek,Apr,1,1.99,lb,peak
leek,Apr,2,1.99,lb,peak
leek,Apr,3,1.99,lb,peak
leek,May,1,1.99,lb,peak
leek,May,2,1.99,lb,peak
leek,May,3,1.99,lb,peak
leek,June,1,1.99,lb,late
leek,June,2,1.99,lb,late
leek,June,3,1.99,lb,late
leek,July,1,1.99,lb,late
leek,July,2,0,,none
leek,July,3,0,,none
leek,Aug,1,0,,none
leek,Aug,2,0,,none
leek,Aug,3,0,,none
leek,Sep,1,0,,none
leek,Sep,2,0,,none
leek,Sep,3,0,,none
leek,Oct,1,1.99,lb,early
leek,Oct,2,1.99,lb,early
leek,Oct,3,1.99,lb,early
leek,Nov,1,1.99,lb,peak
leek,Nov,2,1.99,lb,peak
leek,Nov,3,1.99,lb,peak
leek,Dec,1,1.99,lb,peak
leek,Dec,2,1.99,lb,peak
leek,Dec,3,1.99,lb,peak
