vegetable,month,segment,value,unit,status
lettuce,Jan,1,6.99,lb,off
lettuce,Jan,2,6.99,lb,off
lettuce,Jan,3,6.99,lb,off
lettuce,Feb,1,6.99,lb,off
lettuce,Feb,2,6.99,lb,off
lettuce,Feb,3,6.99,lb,off
lettuce,Mar,1,6.99,lb,off
lettuce,Mar,2,6.99,lb,off
lettuce,Mar,3,6.99,lb,off
lettuce,Apr,1,6.99,lb,early
lettuce,Apr,2,6.99,lb,early
lettuce,Apr,3,6.99,lb,early
lettuce,May,1,6.99,lb,peak
lettuce,May,2,6.99,lb,peak
lettuce,May,3,6.99,lb,peak
lettuce,June,1,6.99,lb,peak
lettuce,June,2,6.99,lb,peak
lettuce,June,3,6.99,lb,peak
lettuce,July,1,6.99,lb,peak
lettuce,July,2,6.99,lb,peak
lettuce,July,3,6.99,lb,peak
lettuce,Aug,1,6.99,lb,peak
lettuce,Aug,2,6.99,lb,peak
lettuce,Aug,3,6.99,lb,peak
lettuce,Sep,1,6.99,lb,peak
lettuce,Sep,2,6.99,lb,peak
lettuce,Sep,3,6.99,lb,peak
lettuce,Oct,1,6.99,lb,peak
lettuce,Oct,2,6.99,lb,peak
lettuce,Oct,3,6.99,lb,peak
lettuce,Nov,1,6.99,lb,late
lettuce,Nov,2,6.99,lb,late
lettuce,Nov,3,6.99,lb,late
lettuce,Dec,1,6.99,lb,late
lettuce,Dec,2,6.99,lb,late
lettuce,Dec,3,6.99,lb,late
