vegetable,month,segment,value,unit,status
melon,Jan,1,0,,none
melon,Jan,2,0,,none
melon,Jan,3,0,,none
melon,Feb,1,0,,none
melon,Feb,2,0,,none
melon,Feb,3,0,,none
melon,Mar,1,0,,none
melon,Mar,2,0,,none
melon,Mar,3,0,,none
melon,Apr,1,0,,none
melon,Apr,2,0,,none
melon,Apr,3,0,,none
melon,May,1,0,,none
melon,May,2,0,,none
melon,May,3,0,,none
melon,June,1,0,,none
melon,June,2,0,,none
melon,June,3,0,,none
melon,July,1,0,,none
melon,July,2,0,,none
melon,July,3,2,lb,early
melon,Aug,1,2,lb,early
melon,Aug,2,2,lb,early
melon,Aug,3,1,lb,peak
melon,Sep,1,1,lb,peak
melon,Sep,2,1,lb,peak
melon,Sep,3,1,lb,peak
melon,Oct,1,1,lb,peak
melon,Oct,2,1,lb,peak
melon,Oct,3,0.5,lb,late
melon,Nov,1,0.5,lb,late
melon,Nov,2,0.5,lb,late
melon,Nov,3,0,,none
melon,Dec,1,0,,none
melon,Dec,2,0,,none
melon,Dec,3,0,,none
