vegetable,month,segment,value,unit,status
morel,Jan,1,0,,none
morel,Jan,2,0,,none
morel,Jan,3,0,,none
morel,Feb,1,0,,none
morel,Feb,2,0,,none
morel,Feb,3,0,,none
morel,Mar,1,0,,none
morel,Mar,2,0,,none
morel,Mar,3,0,,none
morel,Apr,1,50,lb,early
morel,Apr,2,50,lb,early
morel,Apr,3,50,lb,early
morel,May,1,44,lb,peak
morel,May,2,44,lb,peak
morel,May,3,44,lb,peak
morel,June,1,40,lb,peak
morel,June,2,40,lb,peak
morel,June,3,44,lb,late
morel,July,1,44,lb,late
morel,July,2,44,lb,late
morel,July,3,0,,none
morel,Aug,1,0,,none
morel,Aug,2,0,,none
morel,Aug,3,0,,none
morel,Sep,1,0,,none
morel,Sep,2,0,,none
morel,Sep,3,0,,none
morel,Oct,1,0,,none
morel,Oct,2,0,,none
morel,Oct,3,0,,none
morel,Nov,1,0,,none
morel,Nov,2,0,,none
morel,Nov,3,0,,none
morel,Dec,1,0,,none
morel,Dec,2,0,,none
morel,Dec,3,0,,none
