vegetable,month,segment,value,unit,status
nettles,Jan,1,0,,none
nettles,Jan,2,0,,none
nettles,Jan,3,0,,none
nettles,Feb,1,0,,none
nettles,Feb,2,0,,none
nettles,Feb,3,0,,none
nettles,Mar,1,9.99,lb,early
nettles,Mar,2,9.99,lb,early
nettles,Mar,3,9.99,lb,early
nettles,Apr,1,8.99,lb,peak
nettles,Apr,2,8.99,lb,peak
nettles,Apr,3,8.99,lb,peak
nettles,May,1,8.99,lb,late
nettles,May,2,8.99,lb,late
nettles,May,3,0,,none
nettles,June,1,0,,none
nettles,June,2,0,,none
nettles,June,3,0,,none
nettles,July,1,0,,none
nettles,July,2,0,,none
nettles,July,3,0,,none
nettles,Aug,1,0,,none
nettles,Aug,2,0,,none
nettles,Aug,3,0,,none
nettles,Sep,1,0,,none
nettles,Sep,2,0,,none
nettles,Sep,3,0,,none
nettles,Oct,1,0,,none
nettles,Oct,2,0,,none
nettles,Oct,3,0,,none
nettles,Nov,1,0,,none
nettles,Nov,2,0,,none
nettles,Nov,3,0,,none
nettles,Dec,1,0,,none
nettles,Dec,2,0,,none
nettles,Dec,3,0,,none
