vegetable,month,segment,value,unit,status
onion,Jan,1,1.5,lb,off
onion,Jan,2,1.5,lb,off
onion,Jan,3,1.5,lb,off
onion,Feb,1,1.5,lb,off
onion,Feb,2,1.5,lb,off
onion,Feb,3,1.5,lb,off
onion,Mar,1,1.5,lb,off
onion,Mar,2,1.5,lb,off
onion,Mar,3,1.5,lb,off
onion,Apr,1,2.5,lb,early
onion,Apr,2,2.5,lb,early
onion,Apr,3,2.5,lb,early
onion,May,1,2,lb,peak
onion,May,2,2,lb,peak
onion,May,3,2,lb,peak
onion,June,1,2,lb,peak
onion,June,2,2,lb,peak
onion,June,3,2,lb,peak
onion,July,1,2,lb,late
onion,July,2,2,lb,late
onion,July,3,2,lb,late
onion,Aug,1,2,lb,early
onion,Aug,2,2,lb,early
onion,Aug,3,2,lb,peak
onion,Sep,1,2,lb,peak
onion,Sep,2,2,lb,peak
onion,Sep,3,2,lb,peak
onion,Oct,1,2,lb,peak
onion,Oct,2,2,lb,late
onion,Oct,3,2,lb,late
onion,Nov,1,2,lb,late
onion,Nov,2,2.5,lb,off
onion,Nov,3,2.5,lb,off
onion,Dec,1,2.5,lb,off
onion,Dec,2,2.5,lb,off
onion,Dec,3,2.5,lb,off
