vegetable,month,segment,value,unit,status
parsley,Jan,1,1.99,bunch,late
parsley,Jan,2,1.99,bunch,late
parsley,Jan,3,1.99,bunch,late
parsley,Feb,1,0,,none
parsley,Feb,2,0,,none
parsley,Feb,3,0,,none
parsley,Mar,1,0,,none
parsley,Mar,2,0,,none
parsley,Mar,3,0,,none
parsley,Apr,1,1.99,bunch,early
parsley,Apr,2,1.99,bunch,early
parsley,Apr,3,1.99,bunch,early
parsley,May,1,1.99,bunch,early
parsley,May,2,1.99,bunch,peak
parsley,May,3,1.99,bunch,peak
parsley,June,1,1.99,bunch,peak
parsley,June,2,1.99,bunch,peak
parsley,June,3,1.99,bunch,peak
parsley,July,1,1.99,bunch,peak
parsley,July,2,1.99,bunch,peak
parsley,July,3,1.99,bunch,peak
parsley,Aug,1,1.99,bunch,peak
parsley,Aug,2,1.99,bunch,peak
parsley,Aug,3,1.99,bunch,peak
parsley,Sep,1,1.99,bunch,peak
parsley,Sep,2,1.99,bunch,peak
parsley,Sep,3,1.99,bunch,peak
parsley,Oct,1,1.99,bunch,peak
parsley,Oct,2,1.99,bunch,peak
parsley,Oct,3,1.99,bunch,peak
parsley,Nov,1,1.99,bunch,peak
parsley,Nov,2,1.99,bunch,peak
parsley,Nov,3,1.99,bunch,peak
parsley,Dec,1,1.99,bunch,peak
parsley,Dec,2,1.99,bunch,peak
parsley,Dec,3,1.99,bunch,peak
