vegetable,month,segment,value,unit,status
parsnip,Jan,1,1.5,lb,peak
parsnip,Jan,2,1.5,lb,peak
parsnip,Jan,3,1.5,lb,peak
parsnip,Feb,1,1.5,lb,peak
parsnip,Feb,2,1.5,lb,peak
parsnip,Feb,3,1.5,lb,peak
parsnip,Mar,1,1.5,lb,late
parsnip,Mar,2,1.5,lb,late
parsnip,Mar,3,1.5,lb,late
parsnip,Apr,1,0,,none
parsnip,Apr,2,0,,none
parsnip,Apr,3,0,,none
parsnip,May,1,0,,none
parsnip,May,2,0,,none
parsnip,May,3,0,,none
parsnip,June,1,0,,none
parsnip,June,2,0,,none
parsnip,June,3,0,,none
parsnip,July,1,0,,none
parsnip,July,2,0,,none
parsnip,July,3,0,,none
parsnip,Aug,1,0,,none
parsnip,Aug,2,0,,none
parsnip,Aug,3,0,,none
parsnip,Sep,1,0,,none
parsnip,Sep,2,0,,none
parsnip,Sep,3,0,,none
parsnip,Oct,1,0,,none
parsnip,Oct,2,0,,none
parsnip,Oct,3,1.5,lb,early
parsnip,Nov,1,1.5,lb,early
parsnip,Nov,2,1.5,lb,early
parsnip,Nov,3,1.5,lb,peak
parsnip,Dec,1,1.5,lb,peak
parsnip,Dec,2,1.5,lb,peak
parsnip,Dec,3,1.5,lb,peak
