vegetable,month,segment,value,unit,status
pea_shoot,Jan,1,0,,none
pea_shoot,Jan,2,0,,none
pea_shoot,Jan,3,0,,none
pea_shoot,Feb,1,0,,none
pea_shoot,Feb,2,0,,none
pea_shoot,Feb,3,0,,none
pea_shoot,Mar,1,4,bunch,early
pea_shoot,Mar,2,4,bunch,early
pea_shoot,Mar,3,3.5,bunch,peak
pea_shoot,Apr,1,3.5,bunch,peak
pea_shoot,Apr,2,3.5,bunch,peak
pea_shoot,Apr,3,3.5,bunch,peak
pea_shoot,May,1,3.5,bunch,peak
pea_shoot,May,2,3,bunch,late
pea_shoot,May,3,3,bunch,late
pea_shoot,June,1,3,bunch,late
pea_shoot,June,2,0,,none
pea_shoot,June,3,0,,none
pea_shoot,July,1,0,,none
pea_shoot,July,2,0,,none
pea_shoot,July,3,0,,none
pea_shoot,Aug,1,0,,none
pea_shoot,Aug,2,0,,none
pea_shoot,Aug,3,0,,none
pea_shoot,Sep,1,0,,none
pea_shoot,Sep,2,0,,none
pea_shoot,Sep,3,0,,none
pea_shoot,Oct,1,0,,none
pea_shoot,Oct,2,0,,none
pea_shoot,Oct,3,0,,none
pea_shoot,Nov,1,0,,none
pea_shoot,Nov,2,0,,none
pea_shoot,Nov,3,0,,none
pea_shoot,Dec,1,0,,none
pea_shoot,Dec,2,0,,none
pea_shoot,Dec,3,0,,none
