vegetable,month,segment,value,unit,status
pea,Jan,1,0,,none
pea,Jan,2,0,,none
pea,Jan,3,0,,none
pea,Feb,1,0,,none
pea,Feb,2,0,,none
pea,Feb,3,0,,none
pea,Mar,1,0,,none
pea,Mar,2,0,,none
pea,Mar,3,0,,none
pea,Apr,1,0,,none
pea,Apr,2,0,,none
pea,Apr,3,4.5,lb,early
pea,May,1,4.5,lb,early
pea,May,2,4.5,lb,early
pea,May,3,3,lb,peak
pea,June,1,3,lb,peak
pea,June,2,3,lb,peak
pea,June,3,2.5,lb,late
pea,July,1,2.5,lb,late
pea,July,2,2.5,lb,late
pea,July,3,0,,none
pea,Aug,1,0,,none
pea,Aug,2,0,,none
pea,Aug,3,0,,none
pea,Sep,1,0,,none
pea,Sep,2,0,,none
pea,Sep,3,0,,none
pea,Oct,1,0,,none
pea,Oct,2,0,,none
pea,Oct,3,0,,none
pea,Nov,1,0,,none
pea,Nov,2,0,,none
pea,Nov,3,0,,none
pea,Dec,1,0,,none
pea,Dec,2,0,,none
pea,Dec,3,0,,none
