vegetable,month,segment,value,unit,status
potato,Jan,1,1.5,lb,off
potato,Jan,2,1.5,lb,off
potato,Jan,3,1.5,lb,off
potato,Feb,1,1.5,lb,off
potato,Feb,2,1.5,lb,off
potato,Feb,3,1.5,lb,off
potato,Mar,1,1.5,lb,off
potato,Mar,2,1.5,lb,off
potato,Mar,3,1.5,lb,off
potato,Apr,1,0,,none
potato,Apr,2,0,,none
potato,Apr,3,0,,none
potato,May,1,0,,none
potato,May,2,0,,none
potato,May,3,0,,none
potato,June,1,0,,none
potato,June,2,0,,none
potato,June,3,0,,none
potato,July,1,2,lb,early
potato,July,2,2,lb,early
potato,July,3,2,lb,early
potato,Aug,1,1.5,lb,peak
potato,Aug,2,1.5,lb,peak
potato,Aug,3,1.5,lb,peak
potato,Sep,1,1.5,lb,peak
potato,Sep,2,1.5,lb,peak
potato,Sep,3,1.5,lb,peak
potato,Oct,1,1.5,lb,peak
potato,Oct,2,1.5,lb,peak
potato,Oct,3,1.5,lb,peak
potato,Nov,1,2,lb,late
potato,Nov,2,2,lb,late
potato,Nov,3,2,lb,late
potato,Dec,1,2,lb,late
potato,Dec,2,2,lb,late
potato,Dec,3,2,lb,late
