vegetable,month,segment,value,unit,status
radish,Jan,1,1,bunch,peak
radish,Jan,2,1,bunch,peak
radish,Jan,3,1,bunch,late
radish,Feb,1,1,bunch,late
radish,Feb,2,1,bunch,late
radish,Feb,3,1,bunch,late
radish,Mar,1,1,bunch,late
radish,Mar,2,1,bunch,early
radish,Mar,3,1,bunch,early
radish,Apr,1,1,bunch,early
radish,Apr,2,1,bunch,early
radish,Apr,3,1,bunch,early
radish,May,1,1,bunch,peak
radish,May,2,1,bunch,peak
radish,May,3,1,bunch,peak
radish,June,1,1,bunch,peak
radish,June,2,1,bunch,peak
radish,June,3,1,bunch,peak
radish,July,1,1,bunch,peak
radish,July,2,1,bunch,peak
radish,July,3,1,bunch,peak
radish,Aug,1,1,bunch,peak
radish,Aug,2,1,bunch,peak
radish,Aug,3,1,bunch,peak
radish,Sep,1,1,bunch,peak
radish,Sep,2,1,bunch,peak
radish,Sep,3,1,bunch,peak
radish,Oct,1,1,bunch,peak
radish,Oct,2,1,bunch,peak
radish,Oct,3,1,bunch,peak
radish,Nov,1,1,bunch,peak
radish,Nov,2,1,bunch,peak
radish,Nov,3,1,bunch,peak
radish,Dec,1,1,bunch,peak
radish,Dec,2,1,bunch,peak
radish,Dec,3,1,bunch,peak
