vegetable,month,segment,value,unit,status
sorrel,Jan,1,1.99,bunch,late
sorrel,Jan,2,1.99,bunch,late
sorrel,Jan,3,1.99,bunch,late
sorrel,Feb,1,0,,none
sorrel,Feb,2,0,,none
sorrel,Feb,3,0,,none
sorrel,Mar,1,2.99,bunch,early
sorrel,Mar,2,2.99,bunch,early
sorrel,Mar,3,2.99,bunch,early
sorrel,Apr,1,2.99,bunch,peak
sorrel,Apr,2,2.99,bunch,peak
sorrel,Apr,3,2.99,bunch,peak
sorrel,May,1,2.99,bunch,peak
sorrel,May,2,2.99,bunch,peak
sorrel,May,3,1.99,bunch,late
sorrel,June,1,1.99,bunch,late
sorrel,June,2,1.99,bunch,late
sorrel,June,3,0,,none
sorrel,July,1,0,,none
sorrel,July,2,0,,none
sorrel,July,3,0,,none
sorrel,Aug,1,0,,none
sorrel,Aug,2,0,,none
sorrel,Aug,3,0,,none
sorrel,Sep,1,0,,none
sorrel,Sep,2,0,,none
sorrel,Sep,3,0,,none
sorrel,Oct,1,1.99,bunch,early
sorrel,Oct,2,1.99,bunch,early
sorrel,Oct,3,1.99,bunch,early
sorrel,Nov,1,1.99,bunch,peak
sorrel,Nov,2,1.99,bunch,peak
sorrel,Nov,3,1.99,bunch,peak
sorrel,Dec,1,1.99,bunch,peak
sorrel,Dec,2,1.99,bunch,peak
sorrel,Dec,3,1.99,bunch,peak
