vegetable,month,segment,value,unit,status
spinach,Jan,1,6.99,lb,late
spinach,Jan,2,6.99,lb,late
spinach,Jan,3,6.99,lb,late
spinach,Feb,1,6.99,lb,late
spinach,Feb,2,0,,none
spinach,Feb,3,0,,none
spinach,Mar,1,0,,none
spinach,Mar,2,0,,none
spinach,Mar,3,0,,none
spinach,Apr,1,6.99,lb,early
spinach,Apr,2,6.99,lb,early
spinach,Apr,3,6.99,lb,early
spinach,May,1,5.99,lb,peak
spinach,May,2,5.99,lb,peak
spinach,May,3,5.99,lb,peak
spinach,June,1,5.99,lb,peak
spinach,June,2,5.99,lb,peak
spinach,June,3,5.99,lb,peak
spinach,July,1,5.99,lb,peak
spinach,July,2,0,,late
spinach,July,3,0,,late
spinach,Aug,1,0,,late
spinach,Aug,2,0,,none
spinach,Aug,3,0,,none
spinach,Sep,1,0,,none
spinach,Sep,2,0,,none
spinach,Sep,3,0,,none
spinach,Oct,1,6.99,lb,early
spinach,Oct,2,6.99,lb,early
spinach,Oct,3,6.99,lb,early
spinach,Nov,1,5.99,lb,peak
spinach,Nov,2,5.99,lb,peak
spinach,Nov,3,5.99,lb,peak
spinach,Dec,1,5.99,lb,peak
spinach,Dec,2,5.99,lb,peak
spinach,Dec,3,5.99,lb,peak
