vegetable,month,segment,value,unit,status
Summer Squash,Jan,1,0,,none
Summer Squash,Jan,2,0,,none
Summer Squash,Jan,3,0,,none
Summer Squash,Feb,1,0,,none
Summer Squash,Feb,2,0,,none
Summer Squash,Feb,3,0,,none
Summer Squash,Mar,1,0,,none
summer_squash,Mar,2,0,,none
summer_squash,Mar,3,0,,none
summer_squash,Apr,1,0,,none
summer_squash,Apr,2,0,,none
summer_squash,Apr,3,0,,none
summer_squash,May,1,0,,none
summer_squash,May,2,0,,none
summer_squash,May,3,0,,none
summer_squash,June,1,3,lb,early
summer_squash,June,2,3,lb,early
summer_squash,June,3,3,lb,early
summer_squash,July,1,2,lb,peak
summer_squash,July,2,2,lb,peak
summer_squash,July,3,2,lb,peak
summer_squash,Aug,1,2,lb,peak
summer_squash,Aug,2,2,lb,peak
summer_squash,Aug,3,1.5,lb,peak
summer_squash,Sep,1,1.5,lb,late
summer_squash,Sep,2,1.5,lb,late
summer_squash,Sep,3,1.5,lb,late
summer_squash,Oct,1,0,,none
summer_squash,Oct,2,0,,none
summer_squash,Oct,3,0,,none
summer_squash,Nov,1,0,,none
summer_squash,Nov,2,0,,none
summer_squash,Nov,3,0,,none
summer_squash,Dec,1,0,,none
summer_squash,Dec,2,0,,none
summer_squash,Dec,3,0,,none
