vegetable,month,segment,value,unit,status
sweet_potato,Jan,1,1.5,lb,off
sweet_potato,Jan,2,1.5,lb,off
sweet_potato,Jan,3,1.5,lb,off
sweet_potato,Feb,1,1.5,lb,off
sweet_potato,Feb,2,1.5,lb,off
sweet_potato,Feb,3,1.5,lb,off
sweet_potato,Mar,1,1.5,lb,off
sweet_potato,Mar,2,1.5,lb,off
sweet_potato,Mar,3,1.5,lb,off
sweet_potato,Apr,1,0,,none
sweet_potato,Apr,2,0,,none
sweet_potato,Apr,3,0,,none
sweet_potato,May,1,0,,none
sweet_potato,May,2,0,,none
sweet_potato,May,3,0,,none
sweet_potato,June,1,0,,none
sweet_potato,June,2,0,,none
sweet_potato,June,3,0,,none
sweet_potato,July,1,2,lb,early
sweet_potato,July,2,2,lb,early
sweet_potato,July,3,2,lb,early
sweet_potato,Aug,1,1.5,lb,peak
sweet_potato,Aug,2,1.5,lb,peak
sweet_potato,Aug,3,1.5,lb,peak
sweet_potato,Sep,1,1.5,lb,peak
sweet_potato,Sep,2,1.5,lb,peak
sweet_potato,Sep,3,1.5,lb,peak
sweet_potato,Oct,1,1.5,lb,peak
sweet_potato,Oct,2,1.5,lb,peak
sweet_potato,Oct,3,1.5,lb,peak
sweet_potato,Nov,1,2,lb,late
sweet_potato,Nov,2,2,lb,late
sweet_potato,Nov,3,2,lb,late
sweet_potato,Dec,1,2,lb,late
sweet_potato,Dec,2,2,lb,late
sweet_potato,Dec,3,2,lb,late
