vegetable,month,segment,value,unit,status
swiss_chard,Jan,1,1.5,bunch,late
swiss_chard,Jan,2,1.5,bunch,late
swiss_chard,Jan,3,1.5,bunch,late
swiss_chard,Feb,1,1.5,bunch,late
swiss_chard,Feb,2,1.5,bunch,late
swiss_chard,Feb,3,1.5,bunch,late
swiss_chard,Mar,1,1.5,bunch,late
swiss_chard,Mar,2,1.5,bunch,late
swiss_chard,Mar,3,1.5,bunch,late
swiss_chard,Apr,1,0,,none
swiss_chard,Apr,2,0,,none
swiss_chard,Apr,3,0,,none
swiss_chard,May,1,0,,none
swiss_chard,May,2,2,bunch,early
swiss_chard,May,3,2,bunch,early
swiss_chard,June,1,2,bunch,early
swiss_chard,June,2,1.5,bunch,peak
swiss_chard,June,3,1.5,bunch,peak
swiss_chard,July,1,1.5,bunch,peak
swiss_chard,July,2,1.5,bunch,peak
swiss_chard,July,3,1.5,bunch,peak
swiss_chard,Aug,1,1.5,bunch,late
swiss_chard,Aug,2,1.5,bunch,late
swiss_chard,Aug,3,1.5,bunch,late
swiss_chard,Sep,1,1.5,bunch,late
swiss_chard,Sep,2,1.5,bunch,early
swiss_chard,Sep,3,1.5,bunch,early
swiss_chard,Oct,1,1.5,bunch,early
swiss_chard,Oct,2,1.5,bunch,peak
swiss_chard,Oct,3,1.5,bunch,peak
swiss_chard,Nov,1,1.5,bunch,peak
swiss_chard,Nov,2,1.5,bunch,peak
swiss_chard,Nov,3,1.5,bunch,peak
swiss_chard,Dec,1,1.5,bunch,peak
swiss_chard,Dec,2,1.5,bunch,peak
swiss_chard,Dec,3,1.5,bunch,peak
