vegetable,month,segment,value,unit,status
tomato,Jan,1,0,,none
tomato,Jan,2,0,,none
tomato,Jan,3,0,,none
tomato,Feb,1,0,,none
tomato,Feb,2,0,,none
tomato,Feb,3,0,,none
tomato,Mar,1,0,,none
tomato,Mar,2,0,,none
tomato,Mar,3,0,,none
tomato,Apr,1,0,,none
tomato,Apr,2,0,,none
tomato,Apr,3,0,,none
tomato,May,1,0,,none
tomato,May,2,0,,none
tomato,May,3,0,,none
tomato,June,1,0,,none
tomato,June,2,4,lb,early
tomato,June,3,4,lb,early
tomato,July,1,4,lb,early
tomato,July,2,3,lb,peak
tomato,July,3,3,lb,peak
tomato,Aug,1,3,lb,peak
tomato,Aug,2,3,lb,peak
tomato,Aug,3,3,lb,peak
tomato,Sep,1,2.5,lb,peak
tomato,Sep,2,2.5,lb,peak
tomato,Sep,3,2.5,lb,late
tomato,Oct,1,2.5,lb,late
tomato,Oct,2,2.5,lb,late
tomato,Oct,3,4,lb,late
tomato,Nov,1,4,lb,late
tomato,Nov,2,4.5,lb,late
tomato,Nov,3,4.5,lb,late
tomato,Dec,1,0,,none
tomato,Dec,2,0,,none
tomato,Dec,3,0,,none
