vegetable,month,segment,value,unit,status
turnip,Jan,1,1.5,lb,peak
turnip,Jan,2,1.5,lb,peak
turnip,Jan,3,1.5,lb,peak
turnip,Feb,1,1.5,lb,peak
turnip,Feb,2,1.5,lb,peak
turnip,Feb,3,1.5,lb,peak
turnip,Mar,1,1.5,lb,late
turnip,Mar,2,1.5,lb,late
turnip,Mar,3,1.5,lb,late
turnip,Apr,1,0,,none
turnip,Apr,2,0,,none
turnip,Apr,3,0,,none
turnip,May,1,0,,none
turnip,May,2,0,,none
turnip,May,3,0,,none
turnip,June,1,0,,none
turnip,June,2,0,,none
turnip,June,3,0,,none
turnip,July,1,0,,none
turnip,July,2,0,,none
turnip,July,3,0,,none
turnip,Aug,1,0,,none
turnip,Aug,2,0,,none
turnip,Aug,3,0,,none
turnip,Sep,1,0,,none
turnip,Sep,2,0,,none
turnip,Sep,3,0,,none
turnip,Oct,1,0,,none
turnip,Oct,2,0,,none
turnip,Oct,3,1.5,lb,early
turnip,Nov,1,1.5,lb,early
turnip,Nov,2,1.5,lb,early
turnip,Nov,3,1.5,lb,peak
turnip,Dec,1,1.5,lb,peak
turnip,Dec,2,1.5,lb,peak
turnip,Dec,3,1.5,lb,peak
