vegetable,month,segment,value,unit,status
corn,JAN,1,0,,none
corn,JAN,2,0,,none
corn,JAN,3,0,,none
corn,FEB,1,0,,none
corn,FEB,2,0,,none
corn,FEB,3,0,,none
corn,MAR,1,0,,none
corn,MAR,2,0,,none
corn,MAR,3,0,,none
corn,APR,1,0,,none
corn,APR,2,0,,none
corn,APR,3,0,,none
corn,MAY,1,0,,none
corn,MAY,2,0,,none
corn,MAY,3,0,,none
corn,JUN,1,0,,none
corn,JUN,2,0,,none
corn,JUN,3,0,,none
corn,JUL,1,3.5,lb,early
corn,JUL,2,3.5,lb,early
corn,AUG,1,3,lb,peak
corn,AUG,2,3,lb,peak
corn,AUG,3,3,lb,peak
corn,SEP,1,3,lb,peak
corn,SEP,2,3,lb,peak
corn,SEP,3,3,lb,peak
corn,OCT,1,3,lb,peak
corn,OCT,2,3,lb,peak
corn,OCT,3,3,lb,peak
corn,NOV,1,2.5,lb,late
corn,NOV,2,2.5,lb,late
corn,NOV,3,0,,none
corn,DEC,1,0,,none
corn,DEC,2,0,,none
corn,DEC,3,0,,none
