vegetable,month,segment,value,unit,status
king_bolete,JAN,1,0,,none
king_bolete,JAN,2,0,,none
king_bolete,JAN,3,0,,none
king_bolete,FEB,1,0,,none
king_bolete,FEB,2,0,,none
king_bolete,FEB,3,0,,none
king_bolete,MAR,1,0,,none
king_bolete,MAR,2,0,,none
king_bolete,MAR,3,0,,none
king_bolete,APR,1,0,,none
king_bolete,APR,2,0,,none
king_bolete,APR,3,0,,none
king_bolete,MAY,1,0,,none
king_bolete,MAY,2,0,,none
king_bolete,MAY,3,0,,none
king_bolete,JUN,1,50,lb,early
king_bolete,JUN,2,50,lb,early
king_bolete,JUN,3,50,lb,early
king_bolete,JUL,1,50,lb,early
king_bolete,JUL,2,50,lb,early
king_bolete,AUG,1,44,lb,peak
king_bolete,AUG,2,44,lb,peak
king_bolete,AUG,3,44,lb,peak
king_bolete,SEP,1,40,lb,peak
king_bolete,SEP,2,40,lb,peak
king_bolete,SEP,3,44,lb,peak
king_bolete,OCT,1,35,lb,peak
king_bolete,OCT,2,35,lb,peak
king_bolete,OCT,3,35,lb,peak
king_bolete,NOV,1,40,lb,late
king_bolete,NOV,2,40,lb,late
king_bolete,NOV,3,40,lb,late
king_bolete,DEC,1,40,lb,late
king_bolete,DEC,2,40,lb,late
king_bolete,DEC,3,40,lb,late
