vegetable,month,segment,value,unit,status
onion,JAN,1,1.5,lb,off
onion,JAN,2,1.5,lb,off
onion,JAN,3,1.5,lb,off
onion,FEB,1,1.5,lb,off
onion,FEB,2,1.5,lb,off
onion,FEB,3,1.5,lb,off
onion,MAR,1,1.5,lb,off
onion,MAR,2,1.5,lb,off
onion,MAR,3,1.5,lb,off
onion,APR,1,2.5,lb,early
onion,APR,2,2.5,lb,early
onion,APR,3,2.5,lb,early
onion,MAY,1,2,lb,peak
onion,MAY,2,2,lb,peak
onion,MAY,3,2,lb,peak
onion,JUN,1,2,lb,peak
onion,JUN,2,2,lb,peak
onion,JUN,3,2,lb,peak
onion,JUL,1,2,lb,late
onion,JUL,2,2,lb,late
onion,AUG,3,2,lb,late
onion,AUG,1,2,lb,early
onion,AUG,2,2,lb,early
onion,AUG,3,2,lb,peak
onion,SEP,1,2,lb,peak
onion,SEP,2,2,lb,peak
onion,SEP,3,2,lb,peak
onion,OCT,1,2,lb,peak
onion,OCT,2,2,lb,late
onion,OCT,3,2,lb,late
onion,NOV,1,2,lb,late
onion,NOV,2,2.5,lb,off
onion,NOV,3,2.5,lb,off
onion,DEC,1,2.5,lb,off
onion,DEC,2,2.5,lb,off
onion,DEC,3,2.5,lb,off
