vegetable,month,segment,value,unit,status
turnip,JAN,1,1.5,lb,peak
turnip,JAN,2,1.5,lb,peak
turnip,JAN,3,1.5,lb,peak
turnip,FEB,1,1.5,lb,peak
turnip,FEB,2,1.5,lb,peak
turnip,FEB,3,1.5,lb,peak
turnip,MAR,1,1.5,lb,late
turnip,MAR,2,1.5,lb,late
turnip,MAR,3,1.5,lb,late
turnip,APR,1,0,,none
turnip,APR,2,0,,none
turnip,APR,3,0,,none
turnip,MAY,1,0,,none
turnip,MAY,2,0,,none
turnip,MAY,3,0,,none
turnip,JUN,1,0,,none
turnip,JUN,2,0,,none
turnip,JUN,3,0,,none
turnip,JUL,1,0,,none
turnip,JUL,2,0,,none
turnip,AUG,1,0,,none
turnip,AUG,2,0,,none
turnip,AUG,3,0,,none
turnip,SEP,1,0,,none
turnip,SEP,2,0,,none
turnip,SEP,3,0,,none
turnip,OCT,1,0,,none
turnip,OCT,2,0,,none
turnip,OCT,3,1.5,lb,early
turnip,NOV,1,1.5,lb,early
turnip,NOV,2,1.5,lb,early
turnip,NOV,3,1.5,lb,peak
turnip,DEC,1,1.5,lb,peak
turnip,DEC,2,1.5,lb,peak
turnip,DEC,3,1.5,lb,peak
