vegetable,month,segment,value,unit,status
arugula,JAN,1,3.99,lb,peak
arugula,JAN,2,3.99,lb,peak
arugula,JAN,3,3.99,lb,peak
arugula,FEB,1,3.99,lb,peak
arugula,FEB,2,4.99,lb,late
arugula,FEB,3,4.99,lb,late
arugula,MAR,1,4.99,lb,late
arugula,MAR,2,4.99,lb,late
arugula,MAR,3,4.99,lb,late
arugula,APR,1,4.99,lb,late
arugula,APR,2,4.99,lb,early
arugula,APR,3,4.99,lb,early
arugula,MAY,1,3.99,lb,peak
arugula,MAY,2,3.99,lb,peak
arugula,MAY,3,3.99,lb,peak
arugula,JUN,1,4.99,lb,late
arugula,JUN,2,4.99,lb,late
arugula,JUN,3,4.99,lb,late
arugula,JUL,1,4.99,lb,late
arugula,JUL,2,0,,none
arugula,AUG,3,0,,none
arugula,AUG,1,0,,none
arugula,AUG,2,0,,none
arugula,AUG,3,0,,none
arugula,SEP,1,0,,none
arugula,SEP,2,0,,none
arugula,SEP,3,0,,none
arugula,OCT,1,4.99,lb,early
arugula,OCT,2,4.99,lb,early
arugula,OCT,3,4.99,lb,early
arugula,NOV,1,3.99,lb,peak
arugula,NOV,2,3.99,lb,peak
arugula,NOV,3,3.99,lb,peak
arugula,DEC,1,3.99,lb,peak
arugula,DEC,2,3.99,lb,peak
arugula,DEC,3,3.99,lb,peak
