vegetable,month,segment,value,unit,status
arugula_raab,JAN,1,2.5,bunch,early
arugula_raab,JAN,2,2.5,bunch,early
arugula_raab,JAN,3,2.5,bunch,early
arugula_raab,FEB,1,2.5,bunch,peak
arugula_raab,FEB,2,2.5,bunch,peak
arugula_raab,FEB,3,2.5,bunch,peak
arugula_raab,MAR,1,2.5,bunch,late
arugula_raab,MAR,2,2.5,bunch,late
arugula_raab,MAR,3,2.5,bunch,late
arugula_raab,APR,1,0,,none
arugula_raab,APR,2,0,,none
arugula_raab,APR,3,0,,none
arugula_raab,MAY,1,0,,none
arugula_raab,MAY,2,0,,none
arugula_raab,MAY,3,0,,none
arugula_raab,JUN,1,0,,none
arugula_raab,JUN,2,0,,none
arugula_raab,JUN,3,0,,none
arugula_raab,JUL,1,0,,none
arugula_raab,JUL,2,0,,none
arugula_raab,AUG,1,0,,none
arugula_raab,AUG,2,0,,none
arugula_raab,AUG,3,0,,none
arugula_raab,SEP,1,0,,none
arugula_raab,SEP,2,0,,none
arugula_raab,SEP,3,0,,none
arugula_raab,OCT,1,0,,none
arugula_raab,OCT,2,0,,none
arugula_raab,OCT,3,0,,none
arugula_raab,NOV,1,0,,none
arugula_raab,NOV,2,0,,none
arugula_raab,NOV,3,0,,none
arugula_raab,DEC,1,0,,none
arugula_raab,DEC,2,0,,none
arugula_raab,DEC,3,0,,none
