vegetable,month,segment,value,unit,status
asparagus,JAN,1,0,,none
asparagus,JAN,2,0,,none
asparagus,JAN,3,0,,none
asparagus,FEB,1,0,,none
asparagus,FEB,2,0,,none
asparagus,FEB,3,0,,none
asparagus,MAR,1,0,,none
asparagus,MAR,2,0,,none
asparagus,MAR,3,0,,none
asparagus,APR,1,6,bunch,early
asparagus,APR,2,6,bunch,early
asparagus,APR,3,6,bunch,early
asparagus,MAY,1,4.5,bunch,peak
asparagus,MAY,2,4.5,bunch,peak
asparagus,MAY,3,4.5,bunch,peak
asparagus,JUN,1,4,bunch,peak
asparagus,JUN,2,4,bunch,late
asparagus,JUN,3,4,bunch,late
asparagus,JUL,1,4,bunch,late
asparagus,JUL,2,0,,none
asparagus,AUG,1,0,,none
asparagus,AUG,2,0,,none
asparagus,AUG,3,0,,none
asparagus,SEP,1,0,,none
asparagus,SEP,2,0,,none
asparagus,SEP,3,0,,none
asparagus,OCT,1,0,,none
asparagus,OCT,2,0,,none
asparagus,OCT,3,0,,none
asparagus,NOV,1,0,,none
asparagus,NOV,2,0,,none
asparagus,NOV,3,0,,none
asparagus,DEC,1,0,,none
asparagus,DEC,2,0,,none
asparagus,DEC,3,0,,none
