vegetable,month,segment,value,unit,status
beet,JAN,1,4.99,bunch,peak
beet,JAN,2,4.99,bunch,peak
beet,JAN,3,4.99,bunch,peak
beet,FEB,1,4.99,bunch,late
beet,FEB,2,4.99,bunch,late
beet,FEB,3,4.99,bunch,late
beet,MAR,1,5.99,bunch,late
beet,MAR,2,5.99,bunch,late
beet,MAR,3,5.99,bunch,late
beet,APR,1,6.99,bunch,early
beet,APR,2,6.99,bunch,early
beet,APR,3,6.99,bunch,early
beet,MAY,1,6.99,bunch,early
beet,MAY,2,4.99,bunch,peak
beet,MAY,3,4.99,bunch,peak
beet,JUN,1,4.99,bunch,peak
beet,JUN,2,4.99,bunch,peak
beet,JUN,3,4.99,bunch,peak
beet,JUL,1,4.99,bunch,peak
beet,JUL,2,4.99,bunch,peak
beet,AUG,3,4.99,bunch,peak
beet,AUG,1,4.99,bunch,late
beet,AUG,2,4.99,bunch,late
beet,AUG,3,4.99,bunch,late
beet,SEP,1,4.99,bunch,early
beet,SEP,2,4.99,bunch,early
beet,SEP,3,4.99,bunch,early
beet,OCT,1,4.99,bunch,early
beet,OCT,2,4.99,bunch,peak
beet,OCT,3,4.99,bunch,peak
beet,NOV,1,4.99,bunch,peak
beet,NOV,2,4.99,bunch,peak
beet,NOV,3,4.99,bunch,peak
beet,DEC,1,4.99,bunch,peak
beet,DEC,2,4.99,bunch,peak
beet,DEC,3,4.99,bunch,peak
