vegetable,month,segment,value,unit,status
bell_pepper,JAN,1,0,lb,none
bell_pepper,JAN,2,0,lb,none
bell_pepper,JAN,3,0,lb,none
bell_pepper,FEB,1,0,lb,none
bell_pepper,FEB,2,0,lb,none
bell_pepper,FEB,3,0,lb,none
bell_pepper,MAR,1,0,lb,none
bell_pepper,MAR,2,0,lb,none
bell_pepper,MAR,3,0,lb,none
bell_pepper,APR,1,0,lb,none
bell_pepper,APR,2,0,lb,none
bell_pepper,APR,3,0,lb,none
bell_pepper,MAY,1,0,lb,none
bell_pepper,MAY,2,0,lb,none
bell_pepper,MAY,3,0,lb,none
bell_pepper,JUN,1,0,lb,none
bell_pepper,JUN,2,6,lb,early
bell_pepper,JUN,3,6,lb,early
bell_pepper,JUL,1,6,lb,early
bell_pepper,JUL,2,4,lb,peak
bell_pepper,AUG,3,4,lb,peak
bell_pepper,AUG,1,4,lb,peak
bell_pepper,AUG,2,4,lb,peak
bell_pepper,AUG,3,4,lb,peak
bell_pepper,SEP,1,3.5,lb,peak
bell_pepper,SEP,2,3.5,lb,peak
bell_pepper,SEP,3,3.5,lb,late
bell_pepper,OCT,1,2.5,lb,late
bell_pepper,OCT,2,2.5,lb,late
bell_pepper,OCT,3,0,lb,none
bell_pepper,NOV,1,0,lb,none
bell_pepper,NOV,2,0,lb,none
bell_pepper,NOV,3,0,lb,none
bell_pepper,DEC,1,0,lb,none
bell_pepper,DEC,2,0,lb,none
bell_pepper,DEC,3,0,lb,none
