vegetable,month,segment,value,unit,status
broccoli,JAN,1,0,,none
broccoli,JAN,2,0,,none
broccoli,JAN,3,0,,none
broccoli,FEB,1,0,,none
broccoli,FEB,2,0,,none
broccoli,FEB,3,0,,none
broccoli,MAR,1,0,,none
broccoli,MAR,2,0,,none
broccoli,MAR,3,0,,none
broccoli,APR,1,0,,none
broccoli,APR,2,0,,none
broccoli,APR,3,0,,none
broccoli,MAY,1,0,,none
broccoli,MAY,2,0,,none
broccoli,MAY,3,0,,none
broccoli,JUN,1,3.99,lb,early
broccoli,JUN,2,3.99,lb,early
broccoli,JUN,3,3.99,lb,early
broccoli,JUL,1,2.99,lb,peak
broccoli,JUL,2,2.99,lb,peak
broccoli,AUG,3,2.99,lb,peak
broccoli,AUG,1,2.99,lb,peak
broccoli,AUG,2,2.99,lb,peak
broccoli,AUG,3,2.99,lb,peak
broccoli,SEP,1,2.99,lb,peak
broccoli,SEP,2,2.99,lb,peak
broccoli,SEP,3,2.99,lb,peak
broccoli,OCT,1,2.99,lb,peak
broccoli,OCT,2,2.99,lb,late
broccoli,OCT,3,2.99,lb,late
broccoli,NOV,1,3.99,lb,late
broccoli,NOV,2,3.99,lb,late
broccoli,NOV,3,3.99,lb,late
broccoli,DEC,1,0,,none
broccoli,DEC,2,0,,none
broccoli,DEC,3,0,,none
