vegetable,month,segment,value,unit,status
brussels_sprout,JAN,1,5.99,lb,peak
brussels_sprout,JAN,2,5.99,lb,peak
brussels_sprout,JAN,3,5.99,lb,peak
brussels_sprout,FEB,1,5.99,lb,peak
brussels_sprout,FEB,2,5.99,lb,peak
brussels_sprout,FEB,3,0,,late
brussels_sprout,MAR,1,0,,late
brussels_sprout,MAR,2,0,,late
brussels_sprout,MAR,3,0,,late
brussels_sprout,APR,1,0,,none
brussels_sprout,APR,2,0,,none
brussels_sprout,APR,3,0,,none
brussels_sprout,MAY,1,0,,none
brussels_sprout,MAY,2,0,,none
brussels_sprout,MAY,3,0,,none
brussels_sprout,JUN,1,0,,none
brussels_sprout,JUN,2,0,,none
brussels_sprout,JUN,3,0,,none
brussels_sprout,JUL,1,0,,none
brussels_sprout,JUL,2,0,,none
brussels_sprout,AUG,1,0,,none
brussels_sprout,AUG,2,0,,none
brussels_sprout,AUG,3,0,,none
brussels_sprout,SEP,1,4.99,lb,early
brussels_sprout,SEP,2,4.99,lb,early
brussels_sprout,SEP,3,4.99,lb,early
brussels_sprout,OCT,1,5.99,lb,peak
brussels_sprout,OCT,2,5.99,lb,peak
brussels_sprout,OCT,3,5.99,lb,peak
brussels_sprout,NOV,1,5.99,lb,peak
brussels_sprout,NOV,2,5.99,lb,peak
brussels_sprout,NOV,3,5.99,lb,peak
brussels_sprout,DEC,1,5.99,lb,peak
brussels_sprout,DEC,2,5.99,lb,peak
brussels_sprout,DEC,3,5.99,lb,peak
