vegetable,month,segment,value,unit,status
cabbage,JAN,1,1.99,lb,peak
cabbage,JAN,2,1.99,lb,peak
cabbage,JAN,3,1.99,lb,peak
cabbage,FEB,1,1.99,lb,peak
cabbage,FEB,2,1.99,lb,peak
cabbage,FEB,3,1.99,lb,peak
cabbage,MAR,1,1.99,lb,peak
cabbage,MAR,2,1.99,lb,peak
cabbage,MAR,3,1.99,lb,peak
cabbage,APR,1,1.99,lb,peak
cabbage,APR,2,1.99,lb,peak
cabbage,APR,3,1.99,lb,peak
cabbage,MAY,1,1.99,lb,peak
cabbage,MAY,2,1.99,lb,peak
cabbage,MAY,3,1.99,lb,peak
cabbage,JUN,1,1.99,lb,peak
cabbage,JUN,2,1.99,lb,peak
cabbage,JUN,3,1.99,lb,peak
cabbage,JUL,1,1.99,lb,late
cabbage,JUL,2,1.99,lb,late
cabbage,AUG,3,1.99,lb,late
cabbage,AUG,1,1.99,lb,late
cabbage,AUG,2,1.99,lb,late
cabbage,AUG,3,1.99,lb,early
cabbage,SEP,1,1.99,lb,early
cabbage,SEP,2,1.99,lb,early
cabbage,SEP,3,1.99,lb,early
cabbage,OCT,1,1.99,lb,peak
cabbage,OCT,2,1.99,lb,peak
cabbage,OCT,3,1.99,lb,peak
cabbage,NOV,1,1.99,lb,peak
cabbage,NOV,2,1.99,lb,peak
cabbage,NOV,3,1.99,lb,peak
cabbage,DEC,1,1.99,lb,peak
cabbage,DEC,2,1.99,lb,peak
cabbage,DEC,3,1.99,lb,peak
