vegetable,month,segment,value,unit,status
carrot,JAN,1,4.99,bunch,peak
carrot,JAN,2,4.99,bunch,peak
carrot,JAN,3,4.99,bunch,peak
carrot,FEB,1,4.99,bunch,late
carrot,FEB,2,4.99,bunch,late
carrot,FEB,3,4.99,bunch,late
carrot,MAR,1,5.99,bunch,late
carrot,MAR,2,5.99,bunch,late
carrot,MAR,3,5.99,bunch,late
carrot,APR,1,6.99,bunch,early
carrot,APR,2,6.99,bunch,early
carrot,APR,3,6.99,bunch,early
carrot,MAY,1,6.99,bunch,early
carrot,MAY,2,4.99,bunch,peak
carrot,MAY,3,4.99,bunch,peak
carrot,JUN,1,4.99,bunch,peak
carrot,JUN,2,4.99,bunch,peak
carrot,JUN,3,4.99,bunch,peak
carrot,JUL,1,4.99,bunch,peak
carrot,JUL,2,4.99,bunch,peak
carrot,AUG,1,4.99,bunch,late
carrot,AUG,2,4.99,bunch,late
carrot,AUG,3,4.99,bunch,late
carrot,SEP,1,4.99,bunch,early
carrot,SEP,2,4.99,bunch,early
carrot,SEP,3,4.99,bunch,early
carrot,OCT,1,4.99,bunch,early
carrot,OCT,2,4.99,bunch,peak
carrot,OCT,3,4.99,bunch,peak
carrot,NOV,1,4.99,bunch,peak
carrot,NOV,2,4.99,bunch,peak
carrot,NOV,3,4.99,bunch,peak
carrot,DEC,1,4.99,bunch,peak
carrot,DEC,2,4.99,bunch,peak
carrot,DEC,3,4.99,bunch,peak
