vegetable,month,segment,value,unit,status
cauliflower,JAN,1,3.99,lb,late
cauliflower,JAN,2,3.99,lb,late
cauliflower,JAN,3,3.99,lb,late
cauliflower,FEB,1,3.99,lb,late
cauliflower,FEB,2,3.99,lb,late
cauliflower,FEB,3,3.99,lb,late
cauliflower,MAR,1,0,,none
cauliflower,MAR,2,0,,none
cauliflower,MAR,3,0,,none
cauliflower,APR,1,0,,none
cauliflower,APR,2,0,,none
cauliflower,APR,3,0,,none
cauliflower,MAY,1,0,,none
cauliflower,MAY,2,0,,none
cauliflower,MAY,3,0,,none
cauliflower,JUN,1,0,,none
cauliflower,JUN,2,0,,none
cauliflower,JUN,3,0,,none
cauliflower,JUL,1,0,,none
cauliflower,JUL,2,0,,none
cauliflower,AUG,3,0,,none
cauliflower,AUG,1,0,,none
cauliflower,AUG,2,0,,none
cauliflower,AUG,3,0,,none
cauliflower,SEP,1,3.99,lb,early
cauliflower,SEP,2,3.99,lb,early
cauliflower,SEP,3,3.99,lb,early
cauliflower,OCT,1,4.99,lb,peak
cauliflower,OCT,2,4.99,lb,peak
cauliflower,OCT,3,4.99,lb,peak
cauliflower,NOV,1,4.99,lb,peak
cauliflower,NOV,2,4.99,lb,peak
cauliflower,NOV,3,4.99,lb,peak
cauliflower,DEC,1,4.99,lb,peak
cauliflower,DEC,2,4.99,lb,peak
cauliflower,DEC,3,4.99,lb,peak
