vegetable,month,segment,value,unit,status
celery,JAN,1,1.99,bunch,late
celery,JAN,2,1.99,bunch,late
celery,JAN,3,1.99,bunch,late
celery,FEB,1,0,,none
celery,FEB,2,0,,none
celery,FEB,3,0,,none
celery,MAR,1,0,,none
celery,MAR,2,0,,none
celery,MAR,3,0,,none
celery,APR,1,1.99,bunch,early
celery,APR,2,1.99,bunch,early
celery,APR,3,1.99,bunch,early
celery,MAY,1,1.99,bunch,early
celery,MAY,2,1.99,bunch,peak
celery,MAY,3,1.99,bunch,peak
celery,JUN,1,1.99,bunch,peak
celery,JUN,2,1.99,bunch,peak
celery,JUN,3,1.99,bunch,peak
celery,JUL,1,1.99,bunch,peak
celery,JUL,2,1.99,bunch,peak
celery,AUG,3,1.99,bunch,peak
celery,AUG,1,1.99,bunch,peak
celery,AUG,2,1.99,bunch,peak
celery,AUG,3,1.99,bunch,peak
celery,SEP,1,1.99,bunch,peak
celery,SEP,2,1.99,bunch,peak
celery,SEP,3,1.99,bunch,peak
celery,OCT,1,1.99,bunch,peak
celery,OCT,2,1.99,bunch,peak
celery,OCT,3,1.99,bunch,peak
celery,NOV,1,1.99,bunch,peak
celery,NOV,2,1.99,bunch,peak
celery,NOV,3,1.99,bunch,peak
celery,DEC,1,1.99,bunch,peak
celery,DEC,2,1.99,bunch,peak
celery,DEC,3,1.99,bunch,peak
