vegetable,month,segment,value,unit,status
chanterelle,JAN,1,0,,none
chanterelle,JAN,2,0,,none
chanterelle,JAN,3,0,,none
chanterelle,FEB,1,0,,none
chanterelle,FEB,2,0,,none
chanterelle,FEB,3,0,,none
chanterelle,MAR,1,0,,none
chanterelle,MAR,2,0,,none
chanterelle,MAR,3,0,,none
chanterelle,APR,1,0,,none
chanterelle,APR,2,0,,none
chanterelle,APR,3,0,,none
chanterelle,MAY,1,0,,none
chanterelle,MAY,2,0,,none
chanterelle,MAY,3,0,,none
chanterelle,JUN,1,0,,none
chanterelle,JUN,2,0,,none
chanterelle,JUN,3,0,,none
chanterelle,JUL,1,0,,none
chanterelle,JUL,2,0,,none
chanterelle,AUG,3,0,,none
chanterelle,AUG,1,22,lb,early
chanterelle,AUG,2,22,lb,early
chanterelle,AUG,3,22,lb,early
chanterelle,SEP,1,16,lb,peak
chanterelle,SEP,2,16,lb,peak
chanterelle,SEP,3,16,lb,peak
chanterelle,OCT,1,16,lb,peak
chanterelle,OCT,2,16,lb,peak
chanterelle,OCT,3,14,lb,peak
chanterelle,NOV,1,14,lb,peak
chanterelle,NOV,2,14,lb,late
chanterelle,NOV,3,14,lb,late
chanterelle,DEC,1,16,lb,late
chanterelle,DEC,2,16,lb,late
chanterelle,DEC,3,16,lb,late
