vegetable,month,segment,value,unit,status
cucumber,JAN,1,0,,none
cucumber,JAN,2,0,,none
cucumber,JAN,3,0,,none
cucumber,FEB,1,0,,none
cucumber,FEB,2,0,,none
cucumber,FEB,3,0,,none
cucumber,MAR,1,0,,none
cucumber,MAR,2,0,,none
cucumber,MAR,3,0,,none
cucumber,APR,1,0,,none
cucumber,APR,2,0,,none
cucumber,APR,3,0,,none
cucumber,MAY,1,0,,none
cucumber,MAY,2,0,,none
cucumber,MAY,3,0,,none
cucumber,JUN,1,0,,none
cucumber,JUN,2,0,,none
cucumber,JUN,3,0,,none
cucumber,JUL,1,0,,none
cucumber,JUL,2,0,,none
cucumber,AUG,3,2,lb,early
cucumber,AUG,1,2,lb,early
cucumber,AUG,2,2,lb,early
cucumber,AUG,3,1,lb,peak
cucumber,SEP,1,1,lb,peak
cucumber,SEP,2,1,lb,peak
cucumber,SEP,3,1,lb,peak
cucumber,OCT,1,1,lb,peak
cucumber,OCT,2,1,lb,peak
cucumber,OCT,3,0.5,lb,late
cucumber,NOV,1,0.5,lb,late
cucumber,NOV,2,0.5,lb,late
cucumber,NOV,3,0,,none
cucumber,DEC,1,0,,none
cucumber,DEC,2,0,,none
cucumber,DEC,3,0,,none
