vegetable,month,segment,value,unit,status
eggplant,JAN,1,0,,none
eggplant,JAN,2,0,,none
eggplant,JAN,3,0,,none
eggplant,FEB,1,0,,none
eggplant,FEB,2,0,,none
eggplant,FEB,3,0,,none
eggplant,MAR,1,0,,none
eggplant,MAR,2,0,,none
eggplant,MAR,3,0,,none
eggplant,APR,1,0,,none
eggplant,APR,2,0,,none
eggplant,APR,3,0,,none
eggplant,MAY,1,0,,none
eggplant,MAY,2,0,,none
eggplant,MAY,3,0,,none
eggplant,JUN,1,0,,none
eggplant,JUN,2,6,lb,early
eggplant,JUN,3,6,lb,early
eggplant,JUL,1,6,lb,early
eggplant,JUL,2,4,lb,peak
eggplant,AUG,1,4,lb,peak
eggplant,AUG,2,4,lb,peak
eggplant,AUG,3,4,lb,peak
eggplant,SEP,1,3.5,lb,peak
eggplant,SEP,2,3.5,lb,peak
eggplant,SEP,3,3.5,lb,late
eggplant,OCT,1,2.5,lb,late
eggplant,OCT,2,2.5,lb,late
eggplant,OCT,3,0,,late
eggplant,NOV,1,0,,late
eggplant,NOV,2,0,,late
eggplant,NOV,3,0,,late
eggplant,DEC,1,0,,none
eggplant,DEC,2,0,,none
eggplant,DEC,3,0,,none
