vegetable,month,segment,value,unit,status
fava_bean,JAN,1,0,,none
fava_bean,JAN,2,0,,none
fava_bean,JAN,3,0,,none
fava_bean,FEB,1,0,,none
fava_bean,FEB,2,0,,none
fava_bean,FEB,3,0,,none
fava_bean,MAR,1,0,,none
fava_bean,MAR,2,0,,none
fava_bean,MAR,3,0,,none
fava_bean,APR,1,5,lb,early
fava_bean,APR,2,5,lb,early
fava_bean,APR,3,5,lb,early
fava_bean,MAY,1,4,lb,peak
fava_bean,MAY,2,4,lb,peak
fava_bean,MAY,3,4,lb,peak
fava_bean,JUN,1,4,lb,peak
fava_bean,JUN,2,4,lb,peak
fava_bean,JUN,3,3.5,lb,late
fava_bean,JUL,1,3.5,lb,late
fava_bean,JUL,2,3.5,lb,late
fava_bean,AUG,3,0,,none
fava_bean,AUG,1,0,,none
fava_bean,AUG,2,0,,none
fava_bean,AUG,3,0,,none
fava_bean,SEP,1,0,,none
fava_bean,SEP,2,0,,none
fava_bean,SEP,3,0,,none
fava_bean,OCT,1,0,,none
fava_bean,OCT,2,0,,none
fava_bean,OCT,3,0,,none
fava_bean,NOV,1,0,,none
fava_bean,NOV,2,0,,none
fava_bean,NOV,3,0,,none
fava_bean,DEC,1,0,,none
fava_bean,DEC,2,0,,none
fava_bean,DEC,3,0,,none
