vegetable,month,segment,value,unit,status
garlic,JAN,1,6.99,lb,off
garlic,JAN,2,6.99,lb,off
garlic,JAN,3,6.99,lb,off
garlic,FEB,1,6.99,lb,off
garlic,FEB,2,6.99,lb,off
garlic,FEB,3,6.99,lb,off
garlic,MAR,1,6.99,lb,off
garlic,MAR,2,6.99,lb,off
garlic,MAR,3,6.99,lb,off
garlic,APR,1,6.99,lb,off
garlic,APR,2,6.99,lb,off
garlic,APR,3,6.99,lb,off
garlic,MAY,1,6.99,lb,off
garlic,MAY,2,8.99,lb,early
garlic,MAY,3,8.99,lb,early
garlic,JUN,1,8.99,lb,early
garlic,JUN,2,7.99,lb,peak
garlic,JUN,3,7.99,lb,peak
garlic,JUL,1,7.99,lb,peak
garlic,JUL,2,7.99,lb,late
garlic,AUG,3,7.99,lb,late
garlic,AUG,1,7.99,lb,late
garlic,AUG,2,6.99,lb,off
garlic,AUG,3,6.99,lb,off
garlic,SEP,1,6.99,lb,off
garlic,SEP,2,6.99,lb,off
garlic,SEP,3,6.99,lb,off
garlic,OCT,1,6.99,lb,off
garlic,OCT,2,6.99,lb,off
garlic,OCT,3,6.99,lb,off
garlic,NOV,1,6.99,lb,off
garlic,NOV,2,6.99,lb,off
garlic,NOV,3,6.99,lb,off
garlic,DEC,1,6.99,lb,off
garlic,DEC,2,6.99,lb,off
garlic,DEC,3,6.99,lb,off
