vegetable,month,segment,value,unit,status
green_bean,JAN,1,0,,none
green_bean,JAN,2,0,,none
green_bean,JAN,3,0,,none
green_bean,FEB,1,0,,none
green_bean,FEB,2,0,,none
green_bean,FEB,3,0,,none
green_bean,MAR,1,0,,none
green_bean,MAR,2,0,,none
green_bean,MAR,3,0,,none
green_bean,APR,1,0,,none
green_bean,APR,2,0,,none
green_bean,APR,3,0,,none
green_bean,MAY,1,0,,none
green_bean,MAY,2,0,,none
green_bean,MAY,3,0,,none
green_bean,JUN,1,0,,none
green_bean,JUN,2,3,lb,early
green_bean,JUN,3,3,lb,early
green_bean,JUL,1,3,lb,early
green_bean,JUL,2,2,lb,peak
green_bean,AUG,3,2,lb,peak
green_bean,AUG,1,2,lb,peak
green_bean,AUG,2,2,lb,peak
green_bean,AUG,3,2,lb,peak
green_bean,SEP,1,2,lb,peak
green_bean,SEP,2,2,lb,peak
green_bean,SEP,3,2,lb,peak
green_bean,OCT,1,2,lb,peak
green_bean,OCT,2,2,lb,peak
green_bean,OCT,3,1.5,lb,late
green_bean,NOV,1,1.5,lb,late
green_bean,NOV,2,1.5,lb,late
green_bean,NOV,3,0,,none
green_bean,DEC,1,0,,none
green_bean,DEC,2,0,,none
green_bean,DEC,3,0,,none
