vegetable,month,segment,value,unit,status
kale,JAN,1,1.99,bunch,peak
kale,JAN,2,1.99,bunch,peak
kale,JAN,3,1.99,bunch,peak
kale,FEB,1,1.99,bunch,peak
kale,FEB,2,1.99,bunch,peak
kale,FEB,3,1.99,bunch,peak
kale,MAR,1,1.99,bunch,peak
kale,MAR,2,1.99,bunch,late
kale,MAR,3,1.99,bunch,late
kale,APR,1,1.99,bunch,late
kale,APR,2,1.99,bunch,late
kale,APR,3,1.99,bunch,late
kale,MAY,1,1.99,bunch,late
kale,MAY,2,1.99,bunch,late
kale,MAY,3,1.99,bunch,late
kale,JUN,1,1.99,bunch,late
kale,JUN,2,1.99,bunch,late
kale,JUN,3,1.99,bunch,early
kale,JUL,1,1.99,bunch,early
kale,JUL,2,1.99,bunch,early
kale,AUG,3,1.99,bunch,early
kale,AUG,1,1.99,bunch,early
kale,AUG,2,1.99,bunch,early
kale,AUG,3,1.99,bunch,early
kale,SEP,1,1.99,bunch,early
kale,SEP,2,1.99,bunch,early
kale,SEP,3,1.99,bunch,early
kale,OCT,1,1.99,bunch,peak
kale,OCT,2,1.99,bunch,peak
kale,OCT,3,1.99,bunch,peak
kale,NOV,1,1.99,bunch,peak
kale,NOV,2,1.99,bunch,peak
kale,NOV,3,1.99,bunch,peak
kale,DEC,1,1.99,bunch,peak
kale,DEC,2,1.99,bunch,peak
kale,DEC,3,1.99,bunch,peak
