vegetable,month,segment,value,unit,status
kale_raab,JAN,1,0,,none
kale_raab,JAN,2,0,,none
kale_raab,JAN,3,0,,none
kale_raab,FEB,1,0,,none
kale_raab,FEB,2,2.5,bunch,early
kale_raab,FEB,3,2.5,bunch,early
kale_raab,MAR,1,2.5,bunch,peak
kale_raab,MAR,2,2.5,bunch,peak
kale_raab,MAR,3,2.5,bunch,peak
kale_raab,APR,1,2.5,bunch,peak
kale_raab,APR,2,2.5,bunch,late
kale_raab,APR,3,2.5,bunch,late
kale_raab,MAY,1,0,,none
kale_raab,MAY,2,0,,none
kale_raab,MAY,3,0,,none
kale_raab,JUN,1,0,,none
kale_raab,JUN,2,0,,none
kale_raab,JUN,3,0,,none
kale_raab,JUL,1,0,,none
kale_raab,JUL,2,0,,none
kale_raab,AUG,3,0,,none
kale_raab,AUG,1,0,,none
kale_raab,AUG,2,0,,none
kale_raab,AUG,3,0,,none
kale_raab,SEP,1,0,,none
kale_raab,SEP,2,0,,none
kale_raab,SEP,3,0,,none
kale_raab,OCT,1,0,,none
kale_raab,OCT,2,0,,none
kale_raab,OCT,3,0,,none
kale_raab,NOV,1,0,,none
kale_raab,NOV,2,0,,none
kale_raab,NOV,3,0,,none
kale_raab,DEC,1,0,,none
kale_raab,DEC,2,0,,none
kale_raab,DEC,3,0,,none
