vegetable,month,segment,value,unit,status
lettuce,JAN,1,6.99,lb,off
lettuce,JAN,2,6.99,lb,off
lettuce,JAN,3,6.99,lb,off
lettuce,FEB,1,6.99,lb,off
lettuce,FEB,2,6.99,lb,off
lettuce,FEB,3,6.99,lb,off
lettuce,MAR,1,6.99,lb,off
lettuce,MAR,2,6.99,lb,off
lettuce,MAR,3,6.99,lb,off
lettuce,APR,1,6.99,lb,early
lettuce,APR,2,6.99,lb,early
lettuce,APR,3,6.99,lb,early
lettuce,MAY,1,6.99,lb,peak
lettuce,MAY,2,6.99,lb,peak
lettuce,MAY,3,6.99,lb,peak
lettuce,JUN,1,6.99,lb,peak
lettuce,JUN,2,6.99,lb,peak
lettuce,JUN,3,6.99,lb,peak
lettuce,JUL,1,6.99,lb,peak
lettuce,JUL,2,6.99,lb,peak
lettuce,AUG,3,6.99,lb,peak
lettuce,AUG,1,6.99,lb,peak
lettuce,AUG,2,6.99,lb,peak
lettuce,AUG,3,6.99,lb,peak
lettuce,SEP,1,6.99,lb,peak
lettuce,SEP,2,6.99,lb,peak
lettuce,SEP,3,6.99,lb,peak
lettuce,OCT,1,6.99,lb,peak
lettuce,OCT,2,6.99,lb,peak
lettuce,OCT,3,6.99,lb,peak
lettuce,NOV,1,6.99,lb,late
lettuce,NOV,2,6.99,lb,late
lettuce,NOV,3,6.99,lb,late
lettuce,DEC,1,6.99,lb,late
lettuce,DEC,2,6.99,lb,late
lettuce,DEC,3,6.99,lb,late
