vegetable,month,segment,value,unit,status
melon,JAN,1,0,,none
melon,JAN,2,0,,none
melon,JAN,3,0,,none
melon,FEB,1,0,,none
melon,FEB,2,0,,none
melon,FEB,3,0,,none
melon,MAR,1,0,,none
melon,MAR,2,0,,none
melon,MAR,3,0,,none
melon,APR,1,0,,none
melon,APR,2,0,,none
melon,APR,3,0,,none
melon,MAY,1,0,,none
melon,MAY,2,0,,none
melon,MAY,3,0,,none
melon,JUN,1,0,,none
melon,JUN,2,0,,none
melon,JUN,3,0,,none
melon,JUL,1,0,,none
melon,JUL,2,0,,none
melon,AUG,1,2,lb,early
melon,AUG,2,2,lb,early
melon,AUG,3,1,lb,peak
melon,SEP,1,1,lb,peak
melon,SEP,2,1,lb,peak
melon,SEP,3,1,lb,peak
melon,OCT,1,1,lb,peak
melon,OCT,2,1,lb,peak
melon,OCT,3,0.5,lb,late
melon,NOV,1,0.5,lb,late
melon,NOV,2,0.5,lb,late
melon,NOV,3,0,,none
melon,DEC,1,0,,none
melon,DEC,2,0,,none
melon,DEC,3,0,,none
