vegetable,month,segment,value,unit,status
morel,JAN,1,0,,none
morel,JAN,2,0,,none
morel,JAN,3,0,,none
morel,FEB,1,0,,none
morel,FEB,2,0,,none
morel,FEB,3,0,,none
morel,MAR,1,0,,none
morel,MAR,2,0,,none
morel,MAR,3,0,,none
morel,APR,1,50,lb,early
morel,APR,2,50,lb,early
morel,APR,3,50,lb,early
morel,MAY,1,44,lb,peak
morel,MAY,2,44,lb,peak
morel,MAY,3,44,lb,peak
morel,JUN,1,40,lb,peak
morel,JUN,2,40,lb,peak
morel,JUN,3,44,lb,late
morel,JUL,1,44,lb,late
morel,JUL,2,44,lb,late
morel,AUG,3,0,,none
morel,AUG,1,0,,none
morel,AUG,2,0,,none
morel,AUG,3,0,,none
morel,SEP,1,0,,none
morel,SEP,2,0,,none
morel,SEP,3,0,,none
morel,OCT,1,0,,none
morel,OCT,2,0,,none
morel,OCT,3,0,,none
morel,NOV,1,0,,none
morel,NOV,2,0,,none
morel,NOV,3,0,,none
morel,DEC,1,0,,none
morel,DEC,2,0,,none
morel,DEC,3,0,,none
