vegetable,month,segment,value,unit,status
nettles,JAN,1,0,,none
nettles,JAN,2,0,,none
nettles,JAN,3,0,,none
nettles,FEB,1,0,,none
nettles,FEB,2,0,,none
nettles,FEB,3,0,,none
nettles,MAR,1,9.99,lb,early
nettles,MAR,2,9.99,lb,early
nettles,MAR,3,9.99,lb,early
nettles,APR,1,8.99,lb,peak
nettles,APR,2,8.99,lb,peak
nettles,APR,3,8.99,lb,peak
nettles,MAY,1,8.99,lb,late
nettles,MAY,2,8.99,lb,late
nettles,MAY,3,0,,none
nettles,JUN,1,0,,none
nettles,JUN,2,0,,none
nettles,JUN,3,0,,none
nettles,JUL,1,0,,none
nettles,JUL,2,0,,none
nettles,AUG,3,0,,none
nettles,AUG,1,0,,none
nettles,AUG,2,0,,none
nettles,AUG,3,0,,none
nettles,SEP,1,0,,none
nettles,SEP,2,0,,none
nettles,SEP,3,0,,none
nettles,OCT,1,0,,none
nettles,OCT,2,0,,none
nettles,OCT,3,0,,none
nettles,NOV,1,0,,none
nettles,NOV,2,0,,none
nettles,NOV,3,0,,none
nettles,DEC,1,0,,none
nettles,DEC,2,0,,none
nettles,DEC,3,0,,none
