vegetable,month,segment,value,unit,status
parsley,JAN,1,1.99,bunch,late
parsley,JAN,2,1.99,bunch,late
parsley,JAN,3,1.99,bunch,late
parsley,FEB,1,0,,none
parsley,FEB,2,0,,none
parsley,FEB,3,0,,none
parsley,MAR,1,0,,none
parsley,MAR,2,0,,none
parsley,MAR,3,0,,none
parsley,APR,1,1.99,bunch,early
parsley,APR,2,1.99,bunch,early
parsley,APR,3,1.99,bunch,early
parsley,MAY,1,1.99,bunch,early
parsley,MAY,2,1.99,bunch,peak
parsley,MAY,3,1.99,bunch,peak
parsley,JUN,1,1.99,bunch,peak
parsley,JUN,2,1.99,bunch,peak
parsley,JUN,3,1.99,bunch,peak
parsley,JUL,1,1.99,bunch,peak
parsley,JUL,2,1.99,bunch,peak
parsley,AUG,3,1.99,bunch,peak
parsley,AUG,1,1.99,bunch,peak
parsley,AUG,2,1.99,bunch,peak
parsley,AUG,3,1.99,bunch,peak
parsley,SEP,1,1.99,bunch,peak
parsley,SEP,2,1.99,bunch,peak
parsley,SEP,3,1.99,bunch,peak
parsley,OCT,1,1.99,bunch,peak
parsley,OCT,2,1.99,bunch,peak
parsley,OCT,3,1.99,bunch,peak
parsley,NOV,1,1.99,bunch,peak
parsley,NOV,2,1.99,bunch,peak
parsley,NOV,3,1.99,bunch,peak
parsley,DEC,1,1.99,bunch,peak
parsley,DEC,2,1.99,bunch,peak
parsley,DEC,3,1.99,bunch,peak
