vegetable,month,segment,value,unit,status
parsnip,JAN,1,1.5,lb,peak
parsnip,JAN,2,1.5,lb,peak
parsnip,JAN,3,1.5,lb,peak
parsnip,FEB,1,1.5,lb,peak
parsnip,FEB,2,1.5,lb,peak
parsnip,FEB,3,1.5,lb,peak
parsnip,MAR,1,1.5,lb,late
parsnip,MAR,2,1.5,lb,late
parsnip,MAR,3,1.5,lb,late
parsnip,APR,1,0,,none
parsnip,APR,2,0,,none
parsnip,APR,3,0,,none
parsnip,MAY,1,0,,none
parsnip,MAY,2,0,,none
parsnip,MAY,3,0,,none
parsnip,JUN,1,0,,none
parsnip,JUN,2,0,,none
parsnip,JUN,3,0,,none
parsnip,JUL,1,0,,none
parsnip,JUL,2,0,,none
parsnip,AUG,3,0,,none
parsnip,AUG,1,0,,none
parsnip,AUG,2,0,,none
parsnip,AUG,3,0,,none
parsnip,SEP,1,0,,none
parsnip,SEP,2,0,,none
parsnip,SEP,3,0,,none
parsnip,OCT,1,0,,none
parsnip,OCT,2,0,,none
parsnip,OCT,3,1.5,lb,early
parsnip,NOV,1,1.5,lb,early
parsnip,NOV,2,1.5,lb,early
parsnip,NOV,3,1.5,lb,peak
parsnip,DEC,1,1.5,lb,peak
parsnip,DEC,2,1.5,lb,peak
parsnip,DEC,3,1.5,lb,peak
