vegetable,month,segment,value,unit,status
pea,JAN,1,0,,none
pea,JAN,2,0,,none
pea,JAN,3,0,,none
pea,FEB,1,0,,none
pea,FEB,2,0,,none
pea,FEB,3,0,,none
pea,MAR,1,0,,none
pea,MAR,2,0,,none
pea,MAR,3,0,,none
pea,APR,1,0,,none
pea,APR,2,0,,none
pea,APR,3,4.5,lb,early
pea,MAY,1,4.5,lb,early
pea,MAY,2,4.5,lb,early
pea,MAY,3,3,lb,peak
pea,JUN,1,3,lb,peak
pea,JUN,2,3,lb,peak
pea,JUN,3,2.5,lb,late
pea,JUL,1,2.5,lb,late
pea,JUL,2,2.5,lb,late
pea,AUG,1,0,,none
pea,AUG,2,0,,none
pea,AUG,3,0,,none
pea,SEP,1,0,,none
pea,SEP,2,0,,none
pea,SEP,3,0,,none
pea,OCT,1,0,,none
pea,OCT,2,0,,none
pea,OCT,3,0,,none
pea,NOV,1,0,,none
pea,NOV,2,0,,none
pea,NOV,3,0,,none
pea,DEC,1,0,,none
pea,DEC,2,0,,none
pea,DEC,3,0,,none
