vegetable,month,segment,value,unit,status
pea_shoot,JAN,1,0,,none
pea_shoot,JAN,2,0,,none
pea_shoot,JAN,3,0,,none
pea_shoot,FEB,1,0,,none
pea_shoot,FEB,2,0,,none
pea_shoot,FEB,3,0,,none
pea_shoot,MAR,1,4,bunch,early
pea_shoot,MAR,2,4,bunch,early
pea_shoot,MAR,3,3.5,bunch,peak
pea_shoot,APR,1,3.5,bunch,peak
pea_shoot,APR,2,3.5,bunch,peak
pea_shoot,APR,3,3.5,bunch,peak
pea_shoot,MAY,1,3.5,bunch,peak
pea_shoot,MAY,2,3,bunch,late
pea_shoot,MAY,3,3,bunch,late
pea_shoot,JUN,1,3,bunch,late
pea_shoot,JUN,2,0,,none
pea_shoot,JUN,3,0,,none
pea_shoot,JUL,1,0,,none
pea_shoot,JUL,2,0,,none
pea_shoot,AUG,1,0,,none
pea_shoot,AUG,2,0,,none
pea_shoot,AUG,3,0,,none
pea_shoot,SEP,1,0,,none
pea_shoot,SEP,2,0,,none
pea_shoot,SEP,3,0,,none
pea_shoot,OCT,1,0,,none
pea_shoot,OCT,2,0,,none
pea_shoot,OCT,3,0,,none
pea_shoot,NOV,1,0,,none
pea_shoot,NOV,2,0,,none
pea_shoot,NOV,3,0,,none
pea_shoot,DEC,1,0,,none
pea_shoot,DEC,2,0,,none
pea_shoot,DEC,3,0,,none
