vegetable,month,segment,value,unit,status
potato,JAN,1,1.5,lb,off
potato,JAN,2,1.5,lb,off
potato,JAN,3,1.5,lb,off
potato,FEB,1,1.5,lb,off
potato,FEB,2,1.5,lb,off
potato,FEB,3,1.5,lb,off
potato,MAR,1,1.5,lb,off
potato,MAR,2,1.5,lb,off
potato,MAR,3,1.5,lb,off
potato,APR,1,0,,none
potato,APR,2,0,,none
potato,APR,3,0,,none
potato,MAY,1,0,,none
potato,MAY,2,0,,none
potato,MAY,3,0,,none
potato,JUN,1,0,,none
potato,JUN,2,0,,none
potato,JUN,3,0,,none
potato,JUL,1,2,lb,early
potato,JUL,2,2,lb,early
potato,AUG,3,2,lb,early
potato,AUG,1,1.5,lb,peak
potato,AUG,2,1.5,lb,peak
potato,AUG,3,1.5,lb,peak
potato,SEP,1,1.5,lb,peak
potato,SEP,2,1.5,lb,peak
potato,SEP,3,1.5,lb,peak
potato,OCT,1,1.5,lb,peak
potato,OCT,2,1.5,lb,peak
potato,OCT,3,1.5,lb,peak
potato,NOV,1,2,lb,late
potato,NOV,2,2,lb,late
potato,NOV,3,2,lb,late
potato,DEC,1,2,lb,late
potato,DEC,2,2,lb,late
potato,DEC,3,2,lb,late
