vegetable,month,segment,value,unit,status
radish,JAN,1,1,bunch,peak
radish,JAN,2,1,bunch,peak
radish,JAN,3,1,bunch,late
radish,FEB,1,1,bunch,late
radish,FEB,2,1,bunch,late
radish,FEB,3,1,bunch,late
radish,MAR,1,1,bunch,late
radish,MAR,2,1,bunch,early
radish,MAR,3,1,bunch,early
radish,APR,1,1,bunch,early
radish,APR,2,1,bunch,early
radish,APR,3,1,bunch,early
radish,MAY,1,1,bunch,peak
radish,MAY,2,1,bunch,peak
radish,MAY,3,1,bunch,peak
radish,JUN,1,1,bunch,peak
radish,JUN,2,1,bunch,peak
radish,JUN,3,1,bunch,peak
radish,JUL,1,1,bunch,peak
radish,JUL,2,1,bunch,peak
radish,AUG,3,1,bunch,peak
radish,AUG,1,1,bunch,peak
radish,AUG,2,1,bunch,peak
radish,AUG,3,1,bunch,peak
radish,SEP,1,1,bunch,peak
radish,SEP,2,1,bunch,peak
radish,SEP,3,1,bunch,peak
radish,OCT,1,1,bunch,peak
radish,OCT,2,1,bunch,peak
radish,OCT,3,1,bunch,peak
radish,NOV,1,1,bunch,peak
radish,NOV,2,1,bunch,peak
radish,NOV,3,1,bunch,peak
radish,DEC,1,1,bunch,peak
radish,DEC,2,1,bunch,peak
radish,DEC,3,1,bunch,peak
