vegetable,month,segment,value,unit,status
sorrel,JAN,1,1.99,bunch,late
sorrel,JAN,2,1.99,bunch,late
sorrel,JAN,3,1.99,bunch,late
sorrel,FEB,1,0,,none
sorrel,FEB,2,0,,none
sorrel,FEB,3,0,,none
sorrel,MAR,1,2.99,bunch,early
sorrel,MAR,2,2.99,bunch,early
sorrel,MAR,3,2.99,bunch,early
sorrel,APR,1,2.99,bunch,peak
sorrel,APR,2,2.99,bunch,peak
sorrel,APR,3,2.99,bunch,peak
sorrel,MAY,1,2.99,bunch,peak
sorrel,MAY,2,2.99,bunch,peak
sorrel,MAY,3,1.99,bunch,late
sorrel,JUN,1,1.99,bunch,late
sorrel,JUN,2,1.99,bunch,late
sorrel,JUN,3,0,,none
sorrel,JUL,1,0,,none
sorrel,JUL,2,0,,none
sorrel,AUG,3,0,,none
sorrel,AUG,1,0,,none
sorrel,AUG,2,0,,none
sorrel,AUG,3,0,,none
sorrel,SEP,1,0,,none
sorrel,SEP,2,0,,none
sorrel,SEP,3,0,,none
sorrel,OCT,1,1.99,bunch,early
sorrel,OCT,2,1.99,bunch,early
sorrel,OCT,3,1.99,bunch,early
sorrel,NOV,1,1.99,bunch,peak
sorrel,NOV,2,1.99,bunch,peak
sorrel,NOV,3,1.99,bunch,peak
sorrel,DEC,1,1.99,bunch,peak
sorrel,DEC,2,1.99,bunch,peak
sorrel,DEC,3,1.99,bunch,peak
