vegetable,month,segment,value,unit,status
spinach,JAN,1,6.99,lb,late
spinach,JAN,2,6.99,lb,late
spinach,JAN,3,6.99,lb,late
spinach,FEB,1,6.99,lb,late
spinach,FEB,2,0,,none
spinach,FEB,3,0,,none
spinach,MAR,1,0,,none
spinach,MAR,2,0,,none
spinach,MAR,3,0,,none
spinach,APR,1,6.99,lb,early
spinach,APR,2,6.99,lb,early
spinach,APR,3,6.99,lb,early
spinach,MAY,1,5.99,lb,peak
spinach,MAY,2,5.99,lb,peak
spinach,MAY,3,5.99,lb,peak
spinach,JUN,1,5.99,lb,peak
spinach,JUN,2,5.99,lb,peak
spinach,JUN,3,5.99,lb,peak
spinach,JUL,1,5.99,lb,peak
spinach,JUL,2,0,,late
spinach,AUG,3,0,,late
spinach,AUG,1,0,,late
spinach,AUG,2,0,,none
spinach,AUG,3,0,,none
spinach,SEP,1,0,,none
spinach,SEP,2,0,,none
spinach,SEP,3,0,,none
spinach,OCT,1,6.99,lb,early
spinach,OCT,2,6.99,lb,early
spinach,OCT,3,6.99,lb,early
spinach,NOV,1,5.99,lb,peak
spinach,NOV,2,5.99,lb,peak
spinach,NOV,3,5.99,lb,peak
spinach,DEC,1,5.99,lb,peak
spinach,DEC,2,5.99,lb,peak
spinach,DEC,3,5.99,lb,peak
