vegetable,month,segment,value,unit,status
sweet_potato,JAN,1,1.5,lb,off
sweet_potato,JAN,2,1.5,lb,off
sweet_potato,JAN,3,1.5,lb,off
sweet_potato,FEB,1,1.5,lb,off
sweet_potato,FEB,2,1.5,lb,off
sweet_potato,FEB,3,1.5,lb,off
sweet_potato,MAR,1,1.5,lb,off
sweet_potato,MAR,2,1.5,lb,off
sweet_potato,MAR,3,1.5,lb,off
sweet_potato,APR,1,0,,none
sweet_potato,APR,2,0,,none
sweet_potato,APR,3,0,,none
sweet_potato,MAY,1,0,,none
sweet_potato,MAY,2,0,,none
sweet_potato,MAY,3,0,,none
sweet_potato,JUN,1,0,,none
sweet_potato,JUN,2,0,,none
sweet_potato,JUN,3,0,,none
sweet_potato,JUL,1,2,lb,early
sweet_potato,JUL,2,2,lb,early
sweet_potato,AUG,1,1.5,lb,peak
sweet_potato,AUG,2,1.5,lb,peak
sweet_potato,AUG,3,1.5,lb,peak
sweet_potato,SEP,1,1.5,lb,peak
sweet_potato,SEP,2,1.5,lb,peak
sweet_potato,SEP,3,1.5,lb,peak
sweet_potato,OCT,1,1.5,lb,peak
sweet_potato,OCT,2,1.5,lb,peak
sweet_potato,OCT,3,1.5,lb,peak
sweet_potato,NOV,1,2,lb,late
sweet_potato,NOV,2,2,lb,late
sweet_potato,NOV,3,2,lb,late
sweet_potato,DEC,1,2,lb,late
sweet_potato,DEC,2,2,lb,late
sweet_potato,DEC,3,2,lb,late
