vegetable,month,segment,value,unit,status
tomato,JAN,1,0,,none
tomato,JAN,2,0,,none
tomato,JAN,3,0,,none
tomato,FEB,1,0,,none
tomato,FEB,2,0,,none
tomato,FEB,3,0,,none
tomato,MAR,1,0,,none
tomato,MAR,2,0,,none
tomato,MAR,3,0,,none
tomato,APR,1,0,,none
tomato,APR,2,0,,none
tomato,APR,3,0,,none
tomato,MAY,1,0,,none
tomato,MAY,2,0,,none
tomato,MAY,3,0,,none
tomato,JUN,1,0,,none
tomato,JUN,2,4,lb,early
tomato,JUN,3,4,lb,early
tomato,JUL,1,4,lb,early
tomato,JUL,2,3,lb,peak
tomato,AUG,1,3,lb,peak
tomato,AUG,2,3,lb,peak
tomato,AUG,3,3,lb,peak
tomato,SEP,1,2.5,lb,peak
tomato,SEP,2,2.5,lb,peak
tomato,SEP,3,2.5,lb,late
tomato,OCT,1,2.5,lb,late
tomato,OCT,2,2.5,lb,late
tomato,OCT,3,4,lb,late
tomato,NOV,1,4,lb,late
tomato,NOV,2,4.5,lb,late
tomato,NOV,3,4.5,lb,late
tomato,DEC,1,0,,none
tomato,DEC,2,0,,none
tomato,DEC,3,0,,none
