vegetable,month,segment,value,unit,status
winter_squash,JAN,1,3.99,lb,late
winter_squash,JAN,2,3.99,lb,late
winter_squash,JAN,3,3.99,lb,late
winter_squash,FEB,1,0,,none
winter_squash,FEB,2,0,,none
winter_squash,FEB,3,0,,none
winter_squash,MAR,1,0,,none
winter_squash,MAR,2,0,,none
winter_squash,MAR,3,0,,none
winter_squash,APR,1,0,,none
winter_squash,APR,2,0,,none
winter_squash,APR,3,0,,none
winter_squash,MAY,1,0,,none
winter_squash,MAY,2,0,,none
winter_squash,MAY,3,0,,none
winter_squash,JUN,1,0,,none
winter_squash,JUN,2,0,,none
winter_squash,JUN,3,0,,none
winter_squash,JUL,1,0,,none
winter_squash,JUL,2,0,,none
winter_squash,AUG,1,0,,none
winter_squash,AUG,2,0,,none
winter_squash,AUG,3,0,,none
winter_squash,SEP,1,5.99,lb,early
winter_squash,SEP,2,5.99,lb,early
winter_squash,SEP,3,5.99,lb,early
winter_squash,OCT,1,4.99,lb,peak
winter_squash,OCT,2,4.99,lb,peak
winter_squash,OCT,3,4.99,lb,peak
winter_squash,NOV,1,4.99,lb,peak
winter_squash,NOV,2,4.99,lb,peak
winter_squash,NOV,3,4.99,lb,peak
winter_squash,DEC,1,4.99,lb,peak
winter_squash,DEC,2,3.99,lb,peak
winter_squash,DEC,3,3.99,lb,peak
