vegetable,month,segment,value,unit,status
summer_squash,JAN,1,0,,none
summer_squash,JAN,2,0,,none
summer_squash,JAN,3,0,,none
summer_squash,FEB,1,0,,none
summer_squash,FEB,2,0,,none
summer_squash,FEB,3,0,,none
summer_squash,MAR,1,0,,none
summer_squash,MAR,2,0,,none
summer_squash,MAR,3,0,,none
summer_squash,APR,1,0,,none
summer_squash,APR,2,0,,none
summer_squash,APR,3,0,,none
summer_squash,MAY,1,0,,none
summer_squash,MAY,2,0,,none
summer_squash,MAY,3,0,,none
summer_squash,JUN,1,3,lb,early
summer_squash,JUN,2,3,lb,early
summer_squash,JUN,3,3,lb,early
summer_squash,JUL,1,2,lb,peak
summer_squash,JUL,2,2,lb,peak
summer_squash,AUG,1,2,lb,peak
summer_squash,AUG,2,2,lb,peak
summer_squash,AUG,3,1.5,lb,peak
summer_squash,SEP,1,1.5,lb,late
summer_squash,SEP,2,1.5,lb,late
summer_squash,SEP,3,1.5,lb,late
summer_squash,OCT,1,0,,none
summer_squash,OCT,2,0,,none
summer_squash,OCT,3,0,,none
summer_squash,NOV,1,0,,none
summer_squash,NOV,2,0,,none
summer_squash,NOV,3,0,,none
summer_squash,DEC,1,0,,none
summer_squash,DEC,2,0,,none
summer_squash,DEC,3,0,,none
