vegetable,month,segment,value,unit,status
swiss_chard,JAN,1,1.5,bunch,late
swiss_chard,JAN,2,1.5,bunch,late
swiss_chard,JAN,3,1.5,bunch,late
swiss_chard,FEB,1,1.5,bunch,late
swiss_chard,FEB,2,1.5,bunch,late
swiss_chard,FEB,3,1.5,bunch,late
swiss_chard,MAR,1,1.5,bunch,late
swiss_chard,MAR,2,1.5,bunch,late
swiss_chard,MAR,3,1.5,bunch,late
swiss_chard,APR,1,0,,none
swiss_chard,APR,2,0,,none
swiss_chard,APR,3,0,,none
swiss_chard,MAY,1,0,,none
swiss_chard,MAY,2,2,bunch,early
swiss_chard,MAY,3,2,bunch,early
swiss_chard,JUN,1,2,bunch,early
swiss_chard,JUN,2,1.5,bunch,peak
swiss_chard,JUN,3,1.5,bunch,peak
swiss_chard,JUL,1,1.5,bunch,peak
swiss_chard,JUL,2,1.5,bunch,peak
swiss_chard,AUG,1,1.5,bunch,late
swiss_chard,AUG,2,1.5,bunch,late
swiss_chard,AUG,3,1.5,bunch,late
swiss_chard,SEP,1,1.5,bunch,late
swiss_chard,SEP,2,1.5,bunch,early
swiss_chard,SEP,3,1.5,bunch,early
swiss_chard,OCT,1,1.5,bunch,early
swiss_chard,OCT,2,1.5,bunch,peak
swiss_chard,OCT,3,1.5,bunch,peak
swiss_chard,NOV,1,1.5,bunch,peak
swiss_chard,NOV,2,1.5,bunch,peak
swiss_chard,NOV,3,1.5,bunch,peak
swiss_chard,DEC,1,1.5,bunch,peak
swiss_chard,DEC,2,1.5,bunch,peak
swiss_chard,DEC,3,1.5,bunch,peak
